product_category_name,sales_volume
bed_bath_table,9417
health_beauty,8836
sports_leisure,7720
computers_accessories,6689
furniture_decor,6449
housewares,5884
watches_gifts,5624
telephony,4199
auto,3897
toys,3886
cool_stuff,3632
garden_tools,3518
perfumery,3162
baby,2885
electronics,2550
stationery,2311
fashion_bags_accessories,1864
pet_shop,1710
others,1473
office_furniture,1273
consoles_games,1062
luggage_accessories,1034
home_appliances,764
construction_tools_construction,748
small_appliances,630
musical_instruments,628
books_general_interest,512
home_construction,490
food,450
furniture_living_room,422
home_confort,397
audio,350
drinks,297
market_place,280
books_technical,260
air_conditioning,253
kitchen_dining_laundry_garden_furniture,248
construction_tools_lights,244
fashion_shoes,240
industry_commerce_and_business,235
home_appliances_2,234
food_drink,227
fixed_telephony,217
art,202
costruction_tools_garden,194
agro_industry_and_commerce,182
computers,181
construction_tools_safety,167
signaling_and_security,140
christmas_supplies,128
fashion_underwear_beach,121
fashion_male_clothing,112
costruction_tools_tools,97
furniture_bedroom,95
tablets_printing_image,79
small_appliances_home_oven_and_coffee,75
cine_photo,65
dvds_blu_ray,59
books_imported,53
fashio_female_clothing,39
party_supplies,39
music,38
furniture_mattress_and_upholstery,38
flowers,29
diapers_and_hygiene,27
fashion_sport,27
home_comfort_2,24
arts_and_craftmanship,23
la_cuisine,13
cds_dvds_musicals,12
fashion_childrens_clothes,8
security_and_services,2
